veg_or_nonveg,Taste,Prep Time,Budget,Type,Output
nonveg,Umami,1 hour,Money does not matter to me,Snacks,Fish Soup
nonveg,Umami,1 hour,Money does not matter to me,Light Meal,Tunde Kebab
nonveg,Umami,1 hour,Money does not matter to me,Heavy Meal,"Bheja Masala, Fried Chicken"
nonveg,Sweet,10Mins,Low budget,Snacks,"Bhurra Chicken, Baked chicken empanadas"
nonveg,Sweet,10Mins,Low budget,Light Meal,Malabari Fish Roast
nonveg,Sweet,10Mins,Low budget,Heavy Meal,"Andra Shahi Chicken , Malabar Fish Curry"
nonveg,Sweet,10Mins,Avg budget,Snacks,"Sweet chili chicken drumettes, Pork dumplings"
nonveg,Sweet,10Mins,Avg budget,Light Meal,"Bacon-wrapped chicken bites, Teriyaki chicken skewers"
nonveg,Sweet,10Mins,Avg budget,Heavy Meal,"Lamb bhuna, Mutton boti kebab"
nonveg,Sweet,10Mins,Money does not matter to me,Snacks,"Chicken kofta curry, Chicken jalfrezi"
nonveg,Sweet,10Mins,Money does not matter to me,Light Meal,"Prawn masala, Chicken tikka biryani"
nonveg,Sweet,10Mins,Money does not matter to me,Heavy Meal,"Prawn fry with herbs, Chicken dosa"
nonveg,Sweet,1520 Mins,Low budget,Snacks,"Chicken Pizza, Prawn fry"
nonveg,Sweet,1520 Mins,Low budget,Light Meal,"Lamb saag, Honey garlic pork belly."
nonveg,Sweet,1520 Mins,Low budget,Heavy Meal,"Tandoori Chicken, Masala Murg Muglai"
nonveg,Sweet,1520 Mins,Avg budget,Snacks,"Lava Burger , Chicken Tikka Roll"
nonveg,Sweet,1520 Mins,Avg budget,Light Meal,American Grilled Chicken
nonveg,Sweet,1520 Mins,Avg budget,Heavy Meal,"Turkish Chicken Gozleme, Masala Mugri Kabab"
nonveg,Sweet,1520 Mins,Money does not matter to me,Snacks,"Mutton Curry Chap, Chicken Roll"
nonveg,Sweet,1520 Mins,Money does not matter to me,Light Meal,"Mutton Rara, Tantoori Fried Goti"
nonveg,Sweet,1520 Mins,Money does not matter to me,Heavy Meal,"Spicy Chicken DahiWala, Butter Chicken"
nonveg,Sweet,30 mins,Low budget,Snacks,Chicken Momos
nonveg,Sweet,30 mins,Low budget,Light Meal,"Non Veg Noodles, Chicken Fried Rice"
nonveg,Sweet,30 mins,Low budget,Heavy Meal,"Afghan Murg, Chicken Shormaa"
nonveg,Sweet,30 mins,Avg budget,Snacks,"Masala Grilled Murgi, Orange chicken"
nonveg,Sweet,30 mins,Avg budget,Light Meal,"Honey mustard chicken, Maple glazed bacon, Candied salmon"
nonveg,Sweet,30 mins,Avg budget,Heavy Meal,"Sweet and spicy sausage, Brown sugar glazed ribs"
nonveg,Sweet,30 mins,Money does not matter to me,Snacks,"Pineapple glazed ham, Honey glazed quail"
nonveg,Sweet,30 mins,Money does not matter to me,Light Meal,"Chicken King Kabab, Maharani Fish"
nonveg,Sweet,30 mins,Money does not matter to me,Heavy Meal," Apricot glazed chicken wings, Cheese Chicken Tikka "
nonveg,Sweet,1 hour,Low budget,Snacks,"Tomato Chicken Roast, Indian Prawans Pakora "
nonveg,Sweet,1 hour,Low budget,Light Meal,Amritsari Fish
nonveg,Sweet,1 hour,Low budget,Heavy Meal,"Ambur Star Biriyani, Chicken Burger"
nonveg,Sweet,1 hour,Avg budget,Snacks,"Andra Chilli chicken, Chicken Curry"
nonveg,Sweet,1 hour,Avg budget,Light Meal,"Chettinad Dry Pepper Chicken, Baked Fish"
nonveg,Sweet,1 hour,Avg budget,Heavy Meal,"Apollo Fish, Chicken Butter Masala"
nonveg,Sweet,1 hour,Money does not matter to me,Snacks,"Kankada Jhola , Poora Haah"
nonveg,Sweet,1 hour,Money does not matter to me,Light Meal,"Keema Matar , Haleem"
nonveg,Sweet,1 hour,Money does not matter to me,Heavy Meal,"Murgh Musallam , Laal Maas"
nonveg,Spicy,10Mins,Low budget,Snacks,"Mutton Soup, Royal Fish Biriyani"
nonveg,Spicy,10Mins,Low budget,Light Meal,"Prawns Chilly Fry, Masala Murgi"
nonveg,Spicy,10Mins,Low budget,Heavy Meal,Spicy Chicken bites
nonveg,Spicy,10Mins,Avg budget,Snacks,BoneLess Chicken
nonveg,Spicy,10Mins,Avg budget,Light Meal,"Fish Rolls, Non veg Wings"
nonveg,Spicy,10Mins,Avg budget,Heavy Meal,Rista - Chicken Balls
nonveg,Spicy,10Mins,Money does not matter to me,Snacks,"Bone Less Chicken Wings, Chicken Franki"
nonveg,Spicy,10Mins,Money does not matter to me,Light Meal,"Steamed Garlic Prawns ,  Smoked Tandoori Chicken "
nonveg,Spicy,10Mins,Money does not matter to me,Heavy Meal,Goan Style Frango Vera
nonveg,Spicy,1520 Mins,Low budget,Snacks,Parsi Chicken Cutlet
nonveg,Spicy,1520 Mins,Low budget,Light Meal,"Hariyali Mutton Curry , Mutton Slew"
nonveg,Spicy,1520 Mins,Low budget,Heavy Meal,Chicken Biriyani
nonveg,Spicy,1520 Mins,Avg budget,Snacks,"Chicken Pasta , Shami Kabab"
nonveg,Spicy,1520 Mins,Avg budget,Light Meal,"Chicken Tikka Kabab , Fish Roll with Kabab"
nonveg,Spicy,1520 Mins,Avg budget,Heavy Meal,"Vegitable Fish Curry, Machli ka halwa"
nonveg,Spicy,1520 Mins,Money does not matter to me,Snacks,"Masala Murgi , Afghan Boti Kabab"
nonveg,Spicy,1520 Mins,Money does not matter to me,Light Meal,"Meat Masala, Murgi Handi"
nonveg,Spicy,1520 Mins,Money does not matter to me,Heavy Meal,"Fish curry, Chicken Kurma"
nonveg,Spicy,30 mins,Low budget,Snacks,"Chicken Majestic, Chicken Manchurian"
nonveg,Spicy,30 mins,Low budget,Light Meal,"Spicy Mutton Korma , Spicy Butter Chicken"
nonveg,Spicy,30 mins,Low budget,Heavy Meal,"Spicy Fish Fry, Spicy Butter Chicken"
nonveg,Spicy,30 mins,Avg budget,Snacks,"Fried Fish Furry , Green Chicken"
nonveg,Spicy,30 mins,Avg budget,Light Meal,Tandoori Lamb Chops
nonveg,Spicy,30 mins,Avg budget,Heavy Meal,"Malabar Fish Biryani, Keema Samosa with Yoghurt Dip"
nonveg,Spicy,30 mins,Money does not matter to me,Snacks,Curried Parmesan Fish Fingers
nonveg,Spicy,30 mins,Money does not matter to me,Light Meal,Goan Prawn Curry With Raw Mango
nonveg,Spicy,30 mins,Money does not matter to me,Heavy Meal,"Nihari Gosht, Fish Curry"
nonveg,Spicy,1 hour,Low budget,Snacks,"Hyderabadi Chicken Fry, Crack Chicken Wings"
nonveg,Spicy,1 hour,Low budget,Light Meal,Hyderabadi Keema
nonveg,Spicy,1 hour,Low budget,Heavy Meal,"Butter Chicken, Chilli Fish"
nonveg,Spicy,1 hour,Avg budget,Snacks,"Korean Corn Meat Noodles, Chicken Nuggets"
nonveg,Spicy,1 hour,Avg budget,Light Meal,"Bengali Kosha Mangsho, Chicken Habibi Shawarma"
nonveg,Spicy,1 hour,Avg budget,Heavy Meal,"Pork Peralan , Prawns Appan"
nonveg,Spicy,1 hour,Money does not matter to me,Snacks,Prawns Chilly Fry
nonveg,Spicy,1 hour,Money does not matter to me,Light Meal,"Mutton Zafrani, Chicken Tawa Masala"
nonveg,Spicy,1 hour,Money does not matter to me,Heavy Meal,"Champaram Mutton , Spicy Huna Chicken"
nonveg,Sour,10Mins,Low budget,Snacks,"Mutton Kebab, Chicago Deep Fish"
nonveg,Sour,10Mins,Low budget,Light Meal,Gulati Butter Chicken
nonveg,Sour,10Mins,Low budget,Heavy Meal,"Meat Pizza, Prawns Sticks"
nonveg,Sour,10Mins,Avg budget,Snacks,Kulhad Mutton
nonveg,Sour,10Mins,Avg budget,Light Meal,Tandoori Chicken First
nonveg,Sour,10Mins,Avg budget,Heavy Meal,"Chicken 65, Masala Murgi"
nonveg,Sour,10Mins,Money does not matter to me,Snacks,"Curried Parmesan Fish Fingers , Gold Chicken Burger"
nonveg,Sour,10Mins,Money does not matter to me,Light Meal,"Fish Amritsari, Chicken Tikka"
nonveg,Sour,10Mins,Money does not matter to me,Heavy Meal,"Tandoori Chicken, Masala Murg Muglai"
nonveg,Sour,1520 Mins,Low budget,Snacks, Fish Tenga
nonveg,Sour,1520 Mins,Low budget,Light Meal,"Chicken Noodles, Chicken Scezwan Rice"
nonveg,Sour,1520 Mins,Low budget,Heavy Meal,"Iromba, Pork Vindaloo"
nonveg,Sour,1520 Mins,Avg budget,Snacks,Chicken Nuggets
nonveg,Sour,1520 Mins,Avg budget,Light Meal,"Kadai Chicken, Butter Chicken"
nonveg,Sour,1520 Mins,Avg budget,Heavy Meal,"Afgani Momo, Cheese Chicken Pizza"
nonveg,Sour,1520 Mins,Money does not matter to me,Snacks,"Bhuna Kabab, Chicken Fried Moms"
nonveg,Sour,1520 Mins,Money does not matter to me,Light Meal,"Lal Chicken, Bourbon glazed pork belly"
nonveg,Sour,1520 Mins,Money does not matter to me,Heavy Meal,"Chicken tikka masala, Fish fry"
nonveg,Sour,30 mins,Low budget,Snacks,"Fish fry , Prawn biryani"
nonveg,Sour,30 mins,Low budget,Light Meal,"Mutton dum biryani, Chicken kofta curry"
nonveg,Sour,30 mins,Low budget,Heavy Meal,Lamb shank curry
nonveg,Sour,30 mins,Avg budget,Snacks,Chicken Kolhapuri
nonveg,Sour,30 mins,Avg budget,Light Meal,"Wazwan, Chicken Leg Piece"
nonveg,Sour,30 mins,Avg budget,Heavy Meal,"Sarson Machhi, Chicken Wings"
nonveg,Sour,30 mins,Money does not matter to me,Snacks,Paya Soup
nonveg,Sour,30 mins,Money does not matter to me,Light Meal,"Tunde Kebab, Chicken Momos"
nonveg,Sour,30 mins,Money does not matter to me,Heavy Meal,"Bheja Masala, Fried Chicken"
nonveg,Sour,1 hour,Low budget,Snacks,Orange chicken
nonveg,Sour,1 hour,Low budget,Light Meal,"Rogan Josh, Chicken Tikka"
nonveg,Sour,1 hour,Low budget,Heavy Meal,"Kankada Jhola, Poora Haah"
nonveg,Sour,1 hour,Avg budget,Snacks,"Keema Matar, Kothu Parotta"
nonveg,Sour,1 hour,Avg budget,Light Meal,Tomato Chicken Roast
nonveg,Sour,1 hour,Avg budget,Heavy Meal," Asian Chicken Curry in Peanut Sauce, Mint Chicken Curry"
nonveg,Sour,1 hour,Money does not matter to me,Snacks,"Grilled Chicken, Grilled Teriyaki Chicken"
nonveg,Sour,1 hour,Money does not matter to me,Light Meal,Healthy Oven Baked Chicken
nonveg,Sour,1 hour,Money does not matter to me,Heavy Meal,"Butter Chicken, Chilli Fish"
eggbased,Salty,10Mins,Low budget,Snacks,"Scrambled eggs, Fried eggs"
eggbased,Salty,10Mins,Low budget,Light Meal,"Boiled eggs, Omlett"
eggbased,Salty,10Mins,Low budget,Heavy Meal,"Boil Tikka Curry , Egg Muglai"
eggbased,Salty,10Mins,Avg budget,Snacks,"Egg Sandwitch, Boil Eggs"
eggbased,Salty,10Mins,Avg budget,Light Meal,"Egg Masala , Egg Butter Masala"
eggbased,Salty,10Mins,Avg budget,Heavy Meal,"Spinatch Omlett, Cheese Omlette"
eggbased,Salty,10Mins,Money does not matter to me,Snacks,"Egg Toast, Egg Roll"
eggbased,Salty,10Mins,Money does not matter to me,Light Meal,"Egg Pulav, Egg Biriyani"
eggbased,Salty,10Mins,Money does not matter to me,Heavy Meal,"Eggs Rice, Egg-Bhel, Egg Gotalala"
eggbased,Salty,1520 Mins,Low budget,Snacks,"Crush Bhurji, Boil Tikka Crush"
eggbased,Salty,1520 Mins,Low budget,Light Meal,"Egg Cheese Momos, Egg Tawa Fry"
eggbased,Salty,1520 Mins,Low budget,Heavy Meal,"Egg Fried Rice, Egg Noodles"
eggbased,Salty,1520 Mins,Avg budget,Snacks,"Egg Bhurji, Egg Bonda"
eggbased,Salty,1520 Mins,Avg budget,Light Meal,"South Indian Egg Curry, Masala Egg Fry"
eggbased,Salty,1520 Mins,Avg budget,Heavy Meal,"Half Fry, Aloo Andey"
eggbased,Salty,1520 Mins,Money does not matter to me,Snacks,"Egg Soup, Egg Spinech Salad"
eggbased,Salty,1520 Mins,Money does not matter to me,Light Meal,"Oats Egg Omlet, Hyderabadi Eggs"
eggbased,Salty,1520 Mins,Money does not matter to me,Heavy Meal,"Hyderabadi Egg Biriyani, Boiled Egg Fry"
eggbased,Salty,30 mins,Low budget,Snacks,"Egg Keema, Egg Shurma "
eggbased,Salty,30 mins,Low budget,Light Meal,"Egg Meyo Sandwitch, Oatmeal With Egg"
eggbased,Salty,30 mins,Low budget,Heavy Meal,"Egg Pulusu, Egg Roast"
eggbased,Salty,30 mins,Avg budget,Snacks,"Egg Salad , French Toast with Egg"
eggbased,Salty,30 mins,Avg budget,Light Meal,"Egg Sandwitch, Mushroom Omlet"
eggbased,Salty,30 mins,Avg budget,Heavy Meal,"Tomato Egg Curry, Quinoa Fired Rice "
eggbased,Salty,30 mins,Money does not matter to me,Snacks,"Egg drop soup, Egg custard tart"
eggbased,Salty,30 mins,Money does not matter to me,Light Meal,"Easter eggs, Egg kofta"
eggbased,Salty,30 mins,Money does not matter to me,Heavy Meal,"Egg kofta curry, Egg drop parotta"
eggbased,Salty,1 hour,Low budget,Snacks,"Anda bonda soup, Anda pakoda"
eggbased,Salty,1 hour,Low budget,Light Meal,"Anda vada, Anda upma"
eggbased,Salty,1 hour,Low budget,Heavy Meal,"Anda kachori, Anda rolls"
eggbased,Salty,1 hour,Avg budget,Snacks,Biryani Dry Masala
eggbased,Salty,1 hour,Avg budget,Light Meal,"Mangalorean Egg Curry, Egg Vindaloo"
eggbased,Salty,1 hour,Avg budget,Heavy Meal," Egg Butter Masala, Egg Boil Crush Bhurji"
eggbased,Salty,1 hour,Money does not matter to me,Snacks,"Omelet Curry, Omlett Crushed"
eggbased,Salty,1 hour,Money does not matter to me,Light Meal,"Kerala Egg Roast,  Shahi Anda Masala"
eggbased,Salty,1 hour,Money does not matter to me,Heavy Meal,"Methi Anda, Egg Royal Biriyani"
eggbased,Umami,10Mins,Low budget,Snacks,Egg Chaat
eggbased,Umami,10Mins,Low budget,Light Meal,"Egg and Garlic Fried Rice,Cheese Egg Omlet"
eggbased,Umami,10Mins,Low budget,Heavy Meal,"Egg Momos , Egg Paratha"
eggbased,Umami,10Mins,Avg budget,Snacks,"Mexican Omlet, Eggs Kejriwal"
eggbased,Umami,10Mins,Avg budget,Light Meal,"Power Omlet, Bohri Keema"
eggbased,Umami,10Mins,Avg budget,Heavy Meal,"Just Egg Roll, Garlic Chicken Egg Roll"
eggbased,Umami,10Mins,Money does not matter to me,Snacks,"Mumbai Omlet, Aloo Cheese Egg Roll"
eggbased,Umami,10Mins,Money does not matter to me,Light Meal,"Akuri, Rice Bhurji"
eggbased,Umami,10Mins,Money does not matter to me,Heavy Meal,"Paneer Bhurji, Chatpata Egg Noodles"
eggbased,Umami,1520 Mins,Low budget,Snacks,"Anda Bhurji, Anda Kachori, Anda Samosa, Anda Cutlet"
eggbased,Umami,1520 Mins,Low budget,Light Meal,"Omelette, Scrambled Eggs, Fried Rice with Egg, Egg Fried Noodles"
eggbased,Umami,1520 Mins,Low budget,Heavy Meal,"Egg Curry, Egg Fried Rice, Egg Korma, Egg Bhurji"
eggbased,Umami,1520 Mins,Avg budget,Snacks,"Egg Roll, Egg Croquette, Egg Kofta, Egg Tikki"
eggbased,Umami,1520 Mins,Avg budget,Light Meal,"Egg Biryani, Boiltikka Fry"
eggbased,Umami,1520 Mins,Avg budget,Heavy Meal,"Masala Egg, Egg Fried Rice, Rice Bhurji"
eggbased,Umami,1520 Mins,Money does not matter to me,Snacks,"Egg Sorma, Masala Bhurji"
eggbased,Umami,1520 Mins,Money does not matter to me,Light Meal,"Crush Bhurji, Omelette, Egg Curry, Scrambled Eggs."
eggbased,Umami,1520 Mins,Money does not matter to me,Heavy Meal,"Egg Fried Rice, Omelette, Egg Curry, Boiled Egg."
eggbased,Umami,30 mins,Low budget,Snacks,"Egg Roll, Egg Bhurji, Egg Omelette, Egg Fried Rice."
eggbased,Umami,30 mins,Low budget,Light Meal,"Anda Curry, Egg Omelette, Boiled Egg, Scrambled Egg."
eggbased,Umami,30 mins,Low budget,Heavy Meal,"Egg Crush Masala, Egg Bhurji, Egg Omelette."
eggbased,Umami,30 mins,Avg budget,Snacks,"Egg Roll, Egg Bhurji, Cheese Chilli Omlett"
eggbased,Umami,30 mins,Avg budget,Light Meal,"Egg Fried Rice,Omelette Masala, Masala Half Fry"
eggbased,Umami,30 mins,Avg budget,Heavy Meal,"HoneyComb Omlett, Cheese Masala Bhurji"
eggbased,Umami,30 mins,Money does not matter to me,Snacks,"Egg Kathi Roll, Half Tawa Fry"
eggbased,Umami,30 mins,Money does not matter to me,Light Meal,"Egg Curry Fry, Rice Bhurji"
eggbased,Umami,30 mins,Money does not matter to me,Heavy Meal,"Masala Half Fry, Egg Tomato Curry"
eggbased,Umami,1 hour,Low budget,Snacks,"Green Chilli Tawa Fry, Omlet Soup"
eggbased,Umami,1 hour,Low budget,Light Meal,"Egg Maggi, Egg Frankie"
eggbased,Umami,1 hour,Low budget,Heavy Meal,"Paneer Chush Omlet, Bhurji Bhurra Masala"
eggbased,Umami,1 hour,Avg budget,Snacks,"Boil, Egg Dosa"
eggbased,Umami,1 hour,Avg budget,Light Meal,"Egg Salad, Egg Pasta"
eggbased,Umami,1 hour,Avg budget,Heavy Meal,"Double Butter Omlett, Masala Half Fry"
eggbased,Umami,1 hour,Money does not matter to me,Snacks,"Egg Pulav , Boil Fry Dry"
eggbased,Umami,1 hour,Money does not matter to me,Light Meal,"Egg Biriyani, Masala Mirch Egg Curry"
eggbased,Umami,1 hour,Money does not matter to me,Heavy Meal,"Boil Crush Bhurji, Masala Egg Tikka"
eggbased,Sweet,10Mins,Low budget,Snacks,"Egg Butter Masala, Bhurji "
eggbased,Sweet,10Mins,Low budget,Light Meal,"Egg Pudding, Egg Cake"
eggbased,Sweet,10Mins,Low budget,Heavy Meal,Egg Honey Sandwitch
eggbased,Sweet,10Mins,Avg budget,Snacks,"Egg Kathi Roll, Egg custered Juice"
eggbased,Sweet,10Mins,Avg budget,Light Meal,"HoneyComb Omlett, Cheese Masala Bhurji"
eggbased,Sweet,10Mins,Avg budget,Heavy Meal,"Egg Korma , Fried Sweet Egg."
eggbased,Sweet,10Mins,Money does not matter to me,Snacks,"Egg Pudding, Scotch Eggs with Honey"
eggbased,Sweet,10Mins,Money does not matter to me,Light Meal,"Omlett Pudding, Egg Cake"
eggbased,Sweet,10Mins,Money does not matter to me,Heavy Meal,"Egg Pudding, Boil Anda Curry"
eggbased,Sweet,1520 Mins,Low budget,Snacks,"Egg Ghotala, Masala Egg English"
eggbased,Sweet,1520 Mins,Low budget,Light Meal,"Bhurj Curry, Egg Veggies Delight"
eggbased,Sweet,1520 Mins,Low budget,Heavy Meal,"Boiled eggs,Omelette with honey, Poached eggs with honey, Scrambled eggs with honey."
eggbased,Sweet,1520 Mins,Avg budget,Snacks,"Egg Waffles, Egg-based Crepes, Sweet Omelette, French Toast"
eggbased,Sweet,1520 Mins,Avg budget,Light Meal,"Sweet Scrambled eggs, Egg Fried Rice with sugar, Egg Fried Noodles with sugar, Egg Sandwich with honey"
eggbased,Sweet,1520 Mins,Avg budget,Heavy Meal,"Egg Pizza , Egg Do Pyaza"
eggbased,Sweet,1520 Mins,Money does not matter to me,Snacks,"Bhurji Roll, Egg Frankie"
eggbased,Sweet,1520 Mins,Money does not matter to me,Light Meal,"Paneer Crush Omlett, BoilTikka Rice"
eggbased,Sweet,1520 Mins,Money does not matter to me,Heavy Meal,"Egg Noodles Curry, Egg Rice Bhurji"
eggbased,Sweet,30 mins,Low budget,Snacks,"Egg Cheese Chilli Masala, Egg 65"
eggbased,Sweet,30 mins,Low budget,Light Meal,"Egg Raw Royal, Boil Crush Bhurji"
eggbased,Sweet,30 mins,Low budget,Heavy Meal,"Butter Boil Rice, Masala Egg Rice"
eggbased,Sweet,30 mins,Avg budget,Snacks,"Egg Rice Bhurji, Masala Butter Egg Curry"
eggbased,Sweet,30 mins,Avg budget,Light Meal,"Egg BoilTikka, Hello Omlett"
eggbased,Sweet,30 mins,Avg budget,Heavy Meal,"Malai Omlett, Boil Rice Bhurji"
eggbased,Sweet,30 mins,Money does not matter to me,Snacks,"Crush Bhurji, Omelette, Egg Curry, Scrambled Eggs."
eggbased,Sweet,30 mins,Money does not matter to me,Light Meal,"Egg Omlett Cheese Roast, Fire Omlett"
eggbased,Sweet,30 mins,Money does not matter to me,Heavy Meal,"Egg Rice Bhurji, Masala Butter Egg Curry"
eggbased,Sweet,1 hour,Low budget,Snacks,Egg Pudding 
eggbased,Sweet,1 hour,Low budget,Light Meal,"Egg Toast, Masala Half Fry"
eggbased,Sweet,1 hour,Low budget,Heavy Meal,"Boil Rice, Egg Masasla"
eggbased,Sweet,1 hour,Avg budget,Snacks,Oiless Omlet
eggbased,Sweet,1 hour,Avg budget,Light Meal,"Egg Dosa, Egg Hot Dog"
eggbased,Sweet,1 hour,Avg budget,Heavy Meal,"Egg  Boil Tikka, Boil Tikka Fry"
eggbased,Sweet,1 hour,Money does not matter to me,Snacks,Masala Boil Curry
eggbased,Sweet,1 hour,Money does not matter to me,Light Meal,Bhurji Cheese Omlet
eggbased,Sweet,1 hour,Money does not matter to me,Heavy Meal,"Boil Crush Bhurji, Masala Egg Tikka"
eggbased,Spicy,10Mins,Low budget,Snacks,"Bhurji Khathi Roll, Paneer Bhurji"
eggbased,Spicy,10Mins,Low budget,Light Meal,"Masala Bhurji Fry, Boil Tikka Pulav"
eggbased,Spicy,10Mins,Low budget,Heavy Meal,"Gravy Egg Curry , Moglai Egg Pulav"
eggbased,Spicy,10Mins,Avg budget,Snacks,"Gravy Boil Omlett, Cheese Egg Roll"
eggbased,Spicy,10Mins,Avg budget,Light Meal,"Egg Crush Bhurji, Cheese Omlett"
eggbased,Spicy,10Mins,Avg budget,Heavy Meal,"Egg Fried Rice, Egg Omlett Biriyani"
eggbased,Spicy,10Mins,Money does not matter to me,Snacks,"Boil Tikka Rice , Special Moglai Rice"
eggbased,Spicy,10Mins,Money does not matter to me,Light Meal,"Egg Omlett Cheese Roast, Fire Omlett"
eggbased,Spicy,10Mins,Money does not matter to me,Heavy Meal,"Anda Fried, Curry Omlett Rice"
eggbased,Spicy,1520 Mins,Low budget,Snacks,Afghani Tikka Rolling
eggbased,Spicy,1520 Mins,Low budget,Light Meal,"Egg Patti Samosa , Masala Anda Curry"
eggbased,Spicy,1520 Mins,Low budget,Heavy Meal,"Egg Rice, Rice Bhurji "
eggbased,Spicy,1520 Mins,Avg budget,Snacks,"Roased Eggs, Bhurji Masala"
eggbased,Spicy,1520 Mins,Avg budget,Light Meal,"Chilli Omlett, Egg Butter Masala"
eggbased,Spicy,1520 Mins,Avg budget,Heavy Meal,"Paneer Crush Omlett, BoilTikka Rice"
eggbased,Spicy,1520 Mins,Money does not matter to me,Snacks,Hot Spicy Bhurji Stuff Sandwitch
eggbased,Spicy,1520 Mins,Money does not matter to me,Light Meal,"Royal Egg Biriyani , Masala Egg Stuffed Grilled Sandwitch"
eggbased,Spicy,1520 Mins,Money does not matter to me,Heavy Meal,"Moglai Dream, Malai Bhurji"
eggbased,Spicy,30 mins,Low budget,Snacks,"Egg Salad, Egg Pasta Hot Bun"
eggbased,Spicy,30 mins,Low budget,Light Meal,"Egg Sticks , Eggitarian Omlett"
eggbased,Spicy,30 mins,Low budget,Heavy Meal,"Cheese Coated Spicy Bhurji, Royal Egg Biriyani"
eggbased,Spicy,30 mins,Avg budget,Snacks,"Egg Samosas, Egg Kachoris"
eggbased,Spicy,30 mins,Avg budget,Light Meal,"Egg HalF Fry, Cheese Half Fry"
eggbased,Spicy,30 mins,Avg budget,Heavy Meal,"Egg Bun, Egg Butter Omlett"
eggbased,Spicy,30 mins,Money does not matter to me,Snacks,Egg Sprinked Rice
eggbased,Spicy,30 mins,Money does not matter to me,Light Meal,"Egg Royal Raja, Bhurji Butter Vada Pav"
eggbased,Spicy,30 mins,Money does not matter to me,Heavy Meal,"Egg Crush Rice, Paneer Egg Rice"
eggbased,Spicy,1 hour,Low budget,Snacks,"Egg Hot dog, Egg Burger"
eggbased,Spicy,1 hour,Low budget,Light Meal,Cheese Boil Tikka
eggbased,Spicy,1 hour,Low budget,Heavy Meal,"Boiled Fry, EGG Angara"
eggbased,Spicy,1 hour,Avg budget,Snacks,"Roased Eggs, Bhurji Masala"
eggbased,Spicy,1 hour,Avg budget,Light Meal,"Egg Lazeez, Masala Chilli Omlett "
eggbased,Spicy,1 hour,Avg budget,Heavy Meal,"Veg Masala Paneer Bhurji, "
eggbased,Spicy,1 hour,Money does not matter to me,Snacks,"Easy omlett, Matter Omlett"
eggbased,Spicy,1 hour,Money does not matter to me,Light Meal,"Cheese Boil Rice, Egg Green Gravy"
eggbased,Spicy,1 hour,Money does not matter to me,Heavy Meal,"Egg Fried Manchurian Rice, Egg Gotala"
eggbased,Sour,10Mins,Low budget,Snacks,"Egg Paratha, Cheese Masala Half Fry"
eggbased,Sour,10Mins,Low budget,Light Meal,"Egg ECG, Cheese Butter Gotala"
eggbased,Sour,10Mins,Low budget,Heavy Meal,"Anda Curry, Egg Pulav Blaster"
eggbased,Sour,10Mins,Avg budget,Snacks,"Suraj Omlett, Egg Dry"
eggbased,Sour,10Mins,Avg budget,Light Meal,"Boil Crush Bhurji, Masala Egg Tikka"
eggbased,Sour,10Mins,Avg budget,Heavy Meal,"Cheese Tandori Egg Masala, Mugalai Egg"
eggbased,Sour,10Mins,Money does not matter to me,Snacks,"Hot Spicy Egg Paneer , Egg 65"
eggbased,Sour,10Mins,Money does not matter to me,Light Meal,"Tomato Egg Omlett, Andy ka Funda"
eggbased,Sour,10Mins,Money does not matter to me,Heavy Meal,"Fluffy Omlett, Egg Maggi"
eggbased,Sour,1520 Mins,Low budget,Snacks,"Cheese Egg Nachos, Boiltikka Masala"
eggbased,Sour,1520 Mins,Low budget,Light Meal,"Egg chef Special , Egg Biriyani"
eggbased,Sour,1520 Mins,Low budget,Heavy Meal,"Power Boil Tikka, Plain Omlett"
eggbased,Sour,1520 Mins,Avg budget,Snacks,"Bhurji, Egg 65"
eggbased,Sour,1520 Mins,Avg budget,Light Meal,"Tomato Omlett, Masala Mirch Egg Fry"
eggbased,Sour,1520 Mins,Avg budget,Heavy Meal,"Omlett Zero, Masala Half Fry"
eggbased,Sour,1520 Mins,Money does not matter to me,Snacks,"Egg Tikka, Boiled Fried Rice"
eggbased,Sour,1520 Mins,Money does not matter to me,Light Meal,"Egg Roased Omlett, Maharaja Egg Rice"
eggbased,Sour,1520 Mins,Money does not matter to me,Heavy Meal,"Egg Rice Bhurji, Masala Butter Egg Curry"
eggbased,Sour,30 mins,Low budget,Snacks,Egg 65
eggbased,Sour,30 mins,Low budget,Light Meal,"Egg Fried Rice, Bhurji Pizza"
eggbased,Sour,30 mins,Low budget,Heavy Meal,"Power Omlett, Boil Rice Bhurji"
eggbased,Sour,30 mins,Avg budget,Snacks,"Spicy Bhurji, Cheese Egg Gotala"
eggbased,Sour,30 mins,Avg budget,Light Meal,"Egg Curry, Anda Fry "
eggbased,Sour,30 mins,Avg budget,Heavy Meal,"Royal Egg Biriyani , Suff Egg Garlic Bread"
eggbased,Sour,30 mins,Money does not matter to me,Snacks,"Club Egg Sandwitch, Egg Salad"
eggbased,Sour,30 mins,Money does not matter to me,Light Meal,"Egg Pizza , Egg Do Pyaza"
eggbased,Sour,30 mins,Money does not matter to me,Heavy Meal,"Angara Egg Omlett, Onion Omlett"
eggbased,Sour,1 hour,Low budget,Snacks,"Masala Rice Bhurji , Cheese Grilled Egg Sticks"
eggbased,Sour,1 hour,Low budget,Light Meal,"Mayo Egg Omlett, Spicy Egg Tikka"
